epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5354,1.00988,2.8982,1.27005,0.66973,0.55514,0.64439,0.50917,0.87132,1.70945,1.21943,0.000132836,0.000132836,0.000132836
2,173.363,0.96262,1.73874,1.1971,0.61863,0.6796,0.71037,0.5237,0.9706,1.56595,1.23893,0.000260899,0.000260899,0.000260899
3,256.469,0.94436,1.43073,1.17479,0.80316,0.77575,0.83725,0.66025,0.84863,1.07468,1.12509,0.000383682,0.000383682,0.000383682
4,339.965,0.92938,1.32622,1.1608,0.85697,0.80355,0.89651,0.70046,0.81717,1.03309,1.11436,0.00037624,0.00037624,0.00037624
5,426.561,0.89666,1.12936,1.13388,0.89846,0.83616,0.90116,0.71349,0.82687,0.79544,1.13565,0.00036832,0.00036832,0.00036832
6,510.035,0.87403,1.04985,1.11906,0.82093,0.91431,0.92445,0.74765,0.74944,0.77074,1.05732,0.0003604,0.0003604,0.0003604
7,596.406,0.84258,0.94265,1.10325,0.91932,0.91737,0.94363,0.7748,0.73454,0.57609,1.04502,0.00035248,0.00035248,0.00035248
8,679.995,0.81822,0.90013,1.0816,0.88344,0.92765,0.95388,0.7756,0.74115,0.5633,1.05153,0.00034456,0.00034456,0.00034456
9,764.739,0.80428,0.83816,1.08132,0.85021,0.93069,0.93756,0.76148,0.76044,0.57442,1.06847,0.00033664,0.00033664,0.00033664
10,848.487,0.81445,0.86703,1.08831,0.8946,0.94645,0.95258,0.79338,0.70255,0.46666,1.02498,0.00032872,0.00032872,0.00032872
11,932.281,0.78595,0.78117,1.06373,0.92072,0.92301,0.9602,0.80748,0.71381,0.47439,1.03465,0.0003208,0.0003208,0.0003208
12,1020.28,0.77892,0.76486,1.07222,0.93594,0.90918,0.94464,0.7882,0.69973,0.49197,1.02314,0.00031288,0.00031288,0.00031288
13,1103.45,0.74991,0.72923,1.0566,0.88524,0.92961,0.95583,0.80798,0.68804,0.49003,1.02269,0.00030496,0.00030496,0.00030496
14,1190.26,0.75445,0.70167,1.04874,0.93311,0.947,0.96658,0.82566,0.67073,0.41701,1.00214,0.00029704,0.00029704,0.00029704
15,1274.05,0.72293,0.66873,1.03421,0.92644,0.93372,0.96999,0.81504,0.68365,0.47766,1.00684,0.00028912,0.00028912,0.00028912
16,1357.19,0.72473,0.67823,1.04014,0.90267,0.94301,0.95769,0.80777,0.67047,0.44339,0.9993,0.0002812,0.0002812,0.0002812
17,1440.48,0.68998,0.64065,1.01639,0.89079,0.9499,0.95808,0.79281,0.67466,0.43549,0.99529,0.00027328,0.00027328,0.00027328
18,1523.53,0.69842,0.65037,1.02075,0.91524,0.9387,0.96328,0.82144,0.67285,0.40333,1.00014,0.00026536,0.00026536,0.00026536
19,1606.36,0.70007,0.60704,1.02317,0.91907,0.943,0.9489,0.80665,0.65536,0.40818,0.99686,0.00025744,0.00025744,0.00025744
20,1689.04,0.68486,0.58956,1.01477,0.93226,0.95542,0.97551,0.83353,0.65362,0.37709,0.99633,0.00024952,0.00024952,0.00024952
21,1776.76,0.66901,0.58027,1.00708,0.9455,0.94838,0.96783,0.83851,0.62823,0.37108,0.97743,0.0002416,0.0002416,0.0002416
22,1860.95,0.65825,0.55512,1.00121,0.93751,0.95265,0.96791,0.82521,0.65711,0.40856,0.98522,0.00023368,0.00023368,0.00023368
23,1944.27,0.64697,0.54424,0.9961,0.93285,0.94396,0.9646,0.82392,0.64518,0.38394,0.97868,0.00022576,0.00022576,0.00022576
24,2027.64,0.63292,0.55367,0.9958,0.93351,0.9601,0.97215,0.83392,0.65321,0.3641,0.99879,0.00021784,0.00021784,0.00021784
25,2111.04,0.62534,0.53647,0.99265,0.94893,0.94593,0.9715,0.82843,0.65507,0.38783,1.00006,0.00020992,0.00020992,0.00020992
26,2194.5,0.62447,0.52148,0.98768,0.92576,0.95244,0.964,0.82991,0.64874,0.39949,0.99113,0.000202,0.000202,0.000202
27,2277.4,0.59808,0.4969,0.97867,0.93596,0.94356,0.96644,0.82458,0.64554,0.36999,0.99384,0.00019408,0.00019408,0.00019408
28,2360.4,0.59473,0.49491,0.98066,0.95294,0.93629,0.96663,0.83066,0.63302,0.36544,0.98341,0.00018616,0.00018616,0.00018616
29,2443.57,0.59047,0.46829,0.9751,0.95093,0.94685,0.97179,0.84053,0.63321,0.36686,0.98611,0.00017824,0.00017824,0.00017824
30,2527.88,0.57253,0.45628,0.9676,0.9707,0.94337,0.97054,0.8403,0.63578,0.34874,0.98867,0.00017032,0.00017032,0.00017032
31,2611.15,0.57956,0.49055,0.97281,0.95567,0.94094,0.96365,0.83056,0.63001,0.36135,0.98809,0.0001624,0.0001624,0.0001624
32,2694.65,0.56795,0.46292,0.9699,0.94728,0.94039,0.96671,0.8341,0.63725,0.33479,1.00021,0.00015448,0.00015448,0.00015448
33,2778,0.54927,0.43512,0.95313,0.95363,0.9429,0.97569,0.83962,0.63814,0.33454,1.00736,0.00014656,0.00014656,0.00014656
34,2861.57,0.53862,0.41791,0.94884,0.93915,0.95513,0.97305,0.84124,0.63275,0.32934,0.99193,0.00013864,0.00013864,0.00013864
35,2947.01,0.54092,0.42497,0.95464,0.9385,0.94669,0.96775,0.83174,0.64065,0.35071,0.99173,0.00013072,0.00013072,0.00013072
36,3030.83,0.52993,0.42145,0.95162,0.93348,0.95077,0.96049,0.84213,0.62407,0.35909,0.98052,0.0001228,0.0001228,0.0001228
37,3114.47,0.51434,0.40456,0.94277,0.93543,0.94301,0.96698,0.83874,0.64428,0.35101,0.99105,0.00011488,0.00011488,0.00011488
38,3198.15,0.514,0.40224,0.94366,0.93147,0.93533,0.96133,0.83225,0.63297,0.34904,0.99277,0.00010696,0.00010696,0.00010696
39,3281.74,0.50405,0.38677,0.93952,0.95867,0.94546,0.97335,0.83925,0.62515,0.33468,0.98842,9.904e-05,9.904e-05,9.904e-05
40,3365.21,0.49178,0.38338,0.93701,0.94534,0.94957,0.97747,0.84565,0.61941,0.33981,0.98277,9.112e-05,9.112e-05,9.112e-05
41,3452.02,0.40101,0.24164,0.86148,0.94761,0.94724,0.97161,0.83959,0.6352,0.34519,0.99863,8.32e-05,8.32e-05,8.32e-05
42,3534.7,0.38858,0.23364,0.85333,0.94225,0.94531,0.97854,0.85242,0.6304,0.34383,0.99334,7.528e-05,7.528e-05,7.528e-05
43,3617.88,0.37842,0.22966,0.84807,0.95743,0.94902,0.9755,0.84673,0.63783,0.33778,0.98981,6.736e-05,6.736e-05,6.736e-05
44,3700.64,0.36272,0.21504,0.83824,0.95472,0.94569,0.97321,0.84574,0.63434,0.33833,0.98947,5.944e-05,5.944e-05,5.944e-05
45,3783.39,0.35064,0.20539,0.83565,0.94938,0.95143,0.97053,0.84543,0.63235,0.33091,0.99488,5.152e-05,5.152e-05,5.152e-05
46,3866.42,0.33579,0.19685,0.83036,0.96746,0.9396,0.97686,0.84803,0.63512,0.32614,0.99707,4.36e-05,4.36e-05,4.36e-05
47,3948.99,0.32945,0.19463,0.82659,0.9531,0.94273,0.97373,0.8485,0.63528,0.3286,1.00375,3.568e-05,3.568e-05,3.568e-05
48,4032.1,0.32054,0.19089,0.82547,0.95354,0.93601,0.97323,0.84735,0.63215,0.33188,0.99884,2.776e-05,2.776e-05,2.776e-05
49,4114.87,0.30691,0.18222,0.82392,0.95375,0.93232,0.97295,0.84814,0.62566,0.3238,0.9978,1.984e-05,1.984e-05,1.984e-05
50,4197.77,0.30753,0.17989,0.81683,0.95322,0.93198,0.97284,0.84957,0.62533,0.3244,0.99989,1.192e-05,1.192e-05,1.192e-05
